positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,OSE,OSE (RIT),0.01,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (RIT),0.01,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
no,1e+05,IPTW,IPTW (RIT),0.02,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (RIT),0.02,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
no,1e+05,OSE,OSE (RIT),0.02,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (RIT),0.02,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
no,1e+05,IPTW,IPTW (RIT),0.03,alpha,0.139959667658777,0.149998619629671,0.149998619629671,0.00275770817762411,0.00178952757369521,1.54102580935911,8.00301060478553e-05,0.0108100174160297,-0.0100389519708935,0.006,-0.0100389519708935,0.006,0.00345369367489359,0.000103982965610923,0.00345369367489359,0.000103982965610923
no,1e+05,HAJEK,HAJEK (RIT),0.03,alpha,0.154542996730399,0.149998619629671,0.149998619629671,0.00191964001497818,0.00182217979547805,1.05348551210039,8.14903577983116e-05,0.00752485058527834,0.00454437710072765,0.34,0.00454437710072765,0.34,0.0211849002829846,2.39717024406663e-05,0.0211849002829846,2.39717024406663e-05
no,1e+05,OSE,OSE (RIT),0.03,alpha,0.155034029359372,0.149998619629671,0.149998619629671,0.00191242741298481,0.00181443456747623,1.05400737357251,8.11439806720457e-05,0.00749657770499466,0.00503540972970078,0.216,0.00503540972970078,0.216,0.0184034779321736,2.8647523945618e-05,0.0184034779321736,2.8647523945618e-05
no,1e+05,TMLE,TMLE (RIT),0.03,alpha,0.153500342112985,0.149998619629671,0.149998619629671,0.00187477988599797,0.00183966172663984,1.01908946566077,8.22721735274265e-05,0.00734900211099226,0.00350172248331397,0.528,0.00350172248331397,0.528,0.0223255906976725,1.56464156186101e-05,0.0223255906976725,1.56464156186101e-05
