positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,IPTW,IPTW (ITT),1e-06,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (ITT),1e-06,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (ITT),1e-06,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (ITT),1e-06,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (ITT),0.01,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (ITT),0.01,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (ITT),0.01,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (ITT),0.01,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (ITT),0.02,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (ITT),0.02,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (ITT),0.02,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (ITT),0.02,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (ITT),0.03,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (ITT),0.03,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (ITT),0.03,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (ITT),0.03,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (ITT),0.04,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (ITT),0.04,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (ITT),0.04,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (ITT),0.04,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (ITT),0.05,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (ITT),0.05,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (ITT),0.05,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (ITT),0.05,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (RIT),1e-06,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (RIT),1e-06,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (RIT),1e-06,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (RIT),1e-06,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (RIT),0.01,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (RIT),0.01,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (RIT),0.01,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (RIT),0.01,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (RIT),0.02,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (RIT),0.02,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (RIT),0.02,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (RIT),0.02,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (RIT),0.03,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (RIT),0.03,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
no,1e+05,OSE,OSE (RIT),0.03,alpha,0.149985739583772,0.14999628283083,0.14999628283083,0.00209807194616977,0.00217398413368341,0.965081535629691,9.72235260984419e-05,0.00822429090293321,-1.05432470584219e-05,0.952,-1.05432470584219e-05,0.952,0.00955991631762538,4.72631817356575e-06,0.00955991631762538,4.72631817356575e-06
no,1e+05,TMLE,TMLE (RIT),0.03,alpha,0.149985641565226,0.14999628283083,0.14999628283083,0.00209802443052786,0.00217441834044104,0.964866967642628,9.72429444149688e-05,0.00822410464503952,-1.06412656039168e-05,0.952,-1.06412656039168e-05,0.952,0.00955991631762538,4.72820835578001e-06,0.00955991631762538,4.72820835578001e-06
no,1e+05,IPTW,IPTW (RIT),0.04,alpha,0.149949705826749,0.14999628283083,0.14999628283083,0.00316150129347308,0.00225090239550416,1.40454837126111,0.000100663415341288,0.0123928573445681,-4.65770040806161e-05,0.994,-4.65770040806161e-05,0.994,0.00345369367489359,5.06873101139548e-06,0.00345369367489359,5.06873101139548e-06
no,1e+05,HAJEK,HAJEK (RIT),0.04,alpha,0.149993842044821,0.14999628283083,0.14999628283083,0.00213767849686147,0.00217934437002714,0.980881464288664,9.74632431552427e-05,0.00837954572874842,-2.44078600884203e-06,0.952,-2.44078600884203e-06,0.952,0.00955991631762538,4.74954784060532e-06,0.00955991631762538,4.74954784060532e-06
